true_persona,age,monthly_income,savings_rate,pct_spend_discretionary,app_opens_per_week,avg_transaction_value,transactions_per_month,investment_balance,credit_utilization,months_active,monthly_spend
High-Income Investor,51,14900.0,0.243,0.403,6.6,86.72,19,64570.0,0.166,57,12140.0
High-Income Investor,49,15100.0,0.284,0.293,3.7,97.7,9,121590.0,0.0,24,11530.0
Credit-Reliant Household,46,2970.0,0.066,0.392,10.0,52.84,46,20.0,0.626,37,2810.0
Young Digital Spender,26,3020.0,0.112,0.547,26.5,38.15,44,470.0,0.207,50,2700.0
Steady Middle,31,7510.0,0.077,0.314,4.9,47.24,41,13830.0,0.143,2,7750.0
Young Digital Spender,24,3330.0,0.022,0.499,21.7,26.46,43,490.0,0.369,53,2990.0
High-Income Investor,42,9540.0,0.262,0.487,8.7,195.65,11,95980.0,0.103,17,7410.0
Budget-Conscious Saver,37,5550.0,0.212,0.33,10.0,52.25,26,710.0,0.003,48,5010.0
Budget-Conscious Saver,26,4040.0,0.326,0.169,7.7,67.52,38,2690.0,0.189,52,2680.0
Credit-Reliant Household,41,3860.0,-0.014,0.368,7.4,55.5,29,40.0,0.807,56,3790.0
Budget-Conscious Saver,32,3490.0,0.269,0.188,10.8,49.2,24,3600.0,0.102,13,2390.0
Young Digital Spender,23,3240.0,-0.02,0.522,25.3,58.6,36,470.0,0.327,17,3170.0
High-Income Investor,42,9620.0,0.166,0.344,10.2,101.11,16,33140.0,0.148,51,6990.0
Credit-Reliant Household,39,4250.0,-0.041,0.49,8.9,27.72,41,270.0,0.926,7,4610.0
Young Digital Spender,26,2670.0,0.024,0.639,18.3,42.03,61,100.0,0.525,8,2870.0
Steady Middle,32,6080.0,0.092,0.274,9.0,47.45,16,8090.0,0.4,25,5630.0
High-Income Investor,47,14750.0,0.253,0.47,7.3,79.41,26,46890.0,0.166,50,12460.0
Steady Middle,33,6620.0,0.137,0.332,12.6,90.9,29,5790.0,0.171,26,5690.0
Steady Middle,27,5340.0,0.098,0.275,12.8,86.04,15,9370.0,0.278,9,5410.0
Young Digital Spender,25,3280.0,0.056,0.53,30.2,37.06,58,330.0,0.377,34,3270.0
Steady Middle,37,5710.0,0.088,0.35,6.6,93.39,30,7740.0,0.233,2,5310.0
Credit-Reliant Household,52,4150.0,0.029,0.239,9.1,52.06,42,290.0,0.979,23,4260.0
Credit-Reliant Household,48,3120.0,0.004,0.378,9.0,36.96,45,300.0,0.753,43,2950.0
Steady Middle,34,6440.0,0.115,0.5,3.5,78.71,30,4900.0,0.241,27,4970.0
Young Digital Spender,26,4260.0,0.107,0.49,22.0,65.84,52,200.0,0.437,49,4240.0
Young Digital Spender,25,4430.0,-0.031,0.554,19.3,27.05,67,960.0,0.231,20,4740.0
Young Digital Spender,23,3800.0,0.068,0.41,29.9,14.92,50,20.0,0.257,28,3420.0
Young Digital Spender,27,3900.0,0.026,0.601,23.5,37.63,44,120.0,0.51,44,3750.0
Credit-Reliant Household,36,3190.0,0.029,0.363,9.2,44.76,28,130.0,0.766,31,3040.0
Steady Middle,34,7820.0,0.209,0.356,9.7,76.73,16,4520.0,0.361,44,5630.0
Young Digital Spender,27,2670.0,-0.023,0.68,21.8,25.73,37,80.0,0.435,29,2600.0
Young Digital Spender,21,4310.0,0.06,0.518,19.3,52.6,64,120.0,0.472,52,3780.0
Steady Middle,32,6360.0,0.181,0.41,4.6,81.48,36,10270.0,0.266,4,5660.0
Credit-Reliant Household,46,2860.0,0.014,0.343,9.2,61.77,30,140.0,0.861,42,2670.0
Steady Middle,49,5850.0,0.163,0.305,5.9,82.54,34,10400.0,0.311,42,4220.0
Young Digital Spender,27,2960.0,0.098,0.584,19.4,38.06,55,290.0,0.244,14,2580.0
Steady Middle,49,7910.0,0.198,0.372,9.6,51.38,36,8130.0,0.392,8,5440.0
Steady Middle,37,4700.0,0.136,0.371,4.7,57.81,41,4590.0,0.271,45,3640.0
Young Digital Spender,20,4080.0,0.038,0.495,16.3,46.93,51,120.0,0.256,20,4190.0
Steady Middle,30,6800.0,0.079,0.405,7.9,47.55,34,12420.0,0.164,18,7020.0
Young Digital Spender,25,3660.0,-0.003,0.611,26.2,33.34,55,400.0,0.174,46,3870.0
Budget-Conscious Saver,41,3030.0,0.302,0.289,5.0,79.36,31,1180.0,0.134,39,1890.0
Budget-Conscious Saver,30,5340.0,0.238,0.243,9.5,65.4,28,3840.0,0.156,29,3970.0
Credit-Reliant Household,30,3890.0,-0.052,0.433,6.3,52.31,26,150.0,0.707,53,4070.0
Budget-Conscious Saver,26,5470.0,0.171,0.252,5.8,39.65,22,1670.0,0.102,27,4690.0
Young Digital Spender,21,2720.0,0.028,0.493,15.9,30.14,48,50.0,0.248,35,2710.0
Steady Middle,41,6720.0,0.118,0.388,7.0,66.41,30,2060.0,0.329,50,5500.0
Credit-Reliant Household,54,2990.0,-0.049,0.402,9.0,17.0,26,30.0,0.917,7,3010.0
Steady Middle,37,5410.0,0.137,0.286,10.6,92.9,40,9300.0,0.363,25,5360.0
Budget-Conscious Saver,39,5040.0,0.289,0.111,3.6,37.46,31,3100.0,0.193,45,3180.0
Young Digital Spender,25,2360.0,0.065,0.665,25.8,24.53,58,730.0,0.279,27,2530.0
Steady Middle,35,5550.0,0.094,0.328,6.0,73.54,42,8870.0,0.402,17,4860.0
Young Digital Spender,25,4310.0,0.036,0.678,23.3,47.58,61,170.0,0.328,43,3730.0
Steady Middle,41,6660.0,0.184,0.33,7.6,61.98,36,8880.0,0.113,28,5280.0
High-Income Investor,40,15020.0,0.34,0.229,3.0,65.33,31,47870.0,0.031,53,11110.0
Budget-Conscious Saver,41,3040.0,0.31,0.271,3.4,61.96,29,4170.0,0.138,51,1870.0
High-Income Investor,52,15280.0,0.364,0.358,8.6,99.75,19,96850.0,0.048,11,10460.0
High-Income Investor,50,16070.0,0.381,0.437,4.3,138.61,23,88140.0,0.081,2,9190.0
Steady Middle,38,5750.0,0.069,0.272,8.8,77.62,32,11270.0,0.131,38,6130.0
Young Digital Spender,21,4070.0,0.015,0.481,22.0,49.41,50,40.0,0.497,13,3550.0
Young Digital Spender,22,4280.0,0.138,0.596,14.8,48.68,42,130.0,0.31,15,3480.0
Budget-Conscious Saver,32,5880.0,0.297,0.258,8.7,50.56,27,7000.0,0.198,30,3680.0
High-Income Investor,49,12900.0,0.254,0.277,5.6,94.34,22,126480.0,0.116,57,10010.0
Steady Middle,41,6210.0,0.15,0.295,2.8,67.37,26,4040.0,0.214,39,4930.0
High-Income Investor,54,8370.0,0.316,0.452,5.7,82.85,23,74620.0,0.0,50,4960.0
Steady Middle,28,7730.0,0.152,0.29,10.2,53.96,13,2170.0,0.248,46,7160.0
Budget-Conscious Saver,38,3840.0,0.329,0.269,3.2,51.35,19,1810.0,0.145,34,2670.0
Budget-Conscious Saver,35,5360.0,0.251,0.301,2.7,57.13,21,2030.0,0.172,45,4540.0
Young Digital Spender,21,4440.0,0.107,0.535,22.8,36.8,58,140.0,0.134,45,3940.0
Budget-Conscious Saver,39,5620.0,0.243,0.233,7.3,76.16,24,460.0,0.211,37,4260.0
Budget-Conscious Saver,31,4180.0,0.199,0.356,10.4,48.89,17,1010.0,0.215,26,3240.0
Credit-Reliant Household,28,4700.0,-0.025,0.274,11.1,45.95,37,140.0,0.615,32,5100.0
Young Digital Spender,20,3760.0,0.064,0.463,26.6,39.4,74,320.0,0.38,34,3240.0
Credit-Reliant Household,44,3910.0,-0.011,0.328,9.4,23.3,36,210.0,0.924,51,4010.0
Credit-Reliant Household,53,3370.0,0.064,0.347,7.7,53.01,25,170.0,0.511,47,3470.0
High-Income Investor,48,16920.0,0.226,0.34,4.1,61.48,9,124060.0,0.047,43,11900.0
Young Digital Spender,26,2250.0,0.094,0.577,14.6,60.9,41,70.0,0.267,21,1890.0
Young Digital Spender,23,2280.0,0.017,0.651,25.9,49.89,49,280.0,0.494,52,2030.0
Steady Middle,48,5830.0,0.105,0.321,8.5,40.88,21,6400.0,0.355,30,5400.0
Budget-Conscious Saver,34,3750.0,0.255,0.296,6.3,23.78,31,2780.0,0.256,36,3120.0
Young Digital Spender,26,2770.0,-0.054,0.548,26.0,42.45,59,120.0,0.295,20,3170.0
Budget-Conscious Saver,38,6140.0,0.172,0.243,9.4,57.46,32,4180.0,0.21,53,5580.0
Young Digital Spender,22,3500.0,0.005,0.599,21.9,29.59,56,320.0,0.232,35,3690.0
Budget-Conscious Saver,29,5960.0,0.357,0.279,8.5,44.67,21,2740.0,0.225,50,4240.0
Budget-Conscious Saver,38,5640.0,0.154,0.189,5.5,42.69,25,2890.0,0.122,47,4770.0
Young Digital Spender,25,4070.0,0.041,0.581,26.7,21.76,48,90.0,0.548,57,4090.0
Steady Middle,49,7010.0,0.096,0.348,8.8,59.42,16,13420.0,0.164,50,6040.0
Steady Middle,38,6370.0,0.093,0.398,11.4,29.2,32,13690.0,0.172,56,5710.0
Budget-Conscious Saver,26,4160.0,0.274,0.265,4.6,60.87,18,2260.0,0.218,51,2950.0
Young Digital Spender,22,4340.0,0.048,0.705,15.7,39.78,44,290.0,0.503,55,4540.0
Credit-Reliant Household,39,3470.0,-0.033,0.399,5.6,35.13,41,110.0,0.778,34,3130.0
Steady Middle,32,6280.0,0.106,0.334,10.6,60.1,27,1800.0,0.378,44,6280.0
Young Digital Spender,20,3870.0,0.057,0.665,16.8,40.67,40,60.0,0.196,12,3890.0
Credit-Reliant Household,34,4970.0,-0.039,0.417,6.7,22.74,39,30.0,0.755,59,5500.0
High-Income Investor,50,15550.0,0.371,0.235,1.7,69.58,20,102820.0,0.028,7,10210.0
Credit-Reliant Household,28,4220.0,0.014,0.451,6.7,31.42,29,160.0,0.744,56,3650.0
Young Digital Spender,25,4280.0,0.058,0.476,19.1,43.31,38,100.0,0.319,13,3600.0
Young Digital Spender,20,2810.0,0.072,0.518,22.7,16.92,69,190.0,0.408,59,2260.0
High-Income Investor,44,16560.0,0.28,0.313,8.7,65.91,16,92650.0,0.169,22,10590.0
High-Income Investor,38,8780.0,0.261,0.429,6.1,189.62,27,31840.0,0.002,52,6070.0
Credit-Reliant Household,33,2710.0,0.01,0.426,8.6,52.78,25,180.0,0.659,19,2310.0
Young Digital Spender,25,3470.0,0.049,0.446,27.3,42.72,54,130.0,0.447,50,3110.0
Young Digital Spender,22,3060.0,0.07,0.648,26.0,64.07,55,420.0,0.509,18,3230.0
Credit-Reliant Household,49,3120.0,-0.025,0.418,10.4,55.47,24,70.0,0.705,32,3080.0
Budget-Conscious Saver,36,3070.0,0.205,0.207,11.0,45.57,23,3770.0,0.237,6,2580.0
Budget-Conscious Saver,31,4380.0,0.248,0.283,2.4,84.55,28,520.0,0.222,9,2870.0
Credit-Reliant Household,32,4100.0,0.046,0.408,13.0,38.49,34,230.0,0.831,8,3800.0
Young Digital Spender,20,2470.0,0.102,0.586,11.2,68.78,38,120.0,0.402,39,2080.0
Credit-Reliant Household,33,3530.0,-0.093,0.493,10.2,58.17,23,310.0,0.882,27,4100.0
Steady Middle,41,6180.0,0.194,0.305,10.3,63.97,42,18650.0,0.135,2,5570.0
Young Digital Spender,26,2990.0,0.091,0.489,9.4,37.87,67,20.0,0.219,1,2740.0
Steady Middle,31,6700.0,0.126,0.281,7.9,30.2,27,4180.0,0.193,33,5550.0
Credit-Reliant Household,30,4510.0,0.014,0.359,8.3,52.6,45,30.0,0.533,18,3890.0
Credit-Reliant Household,53,4420.0,-0.06,0.342,8.6,17.62,20,140.0,0.654,10,4570.0
High-Income Investor,40,8060.0,0.287,0.369,8.1,214.76,25,48930.0,0.156,8,6120.0
Steady Middle,49,5930.0,0.07,0.464,12.6,34.97,17,7460.0,0.236,44,6240.0
Young Digital Spender,20,4370.0,-0.015,0.66,23.9,23.91,40,350.0,0.324,57,4920.0
Young Digital Spender,22,3980.0,-0.012,0.52,25.2,46.15,48,280.0,0.299,2,4620.0
Young Digital Spender,24,2780.0,0.057,0.657,22.3,38.32,36,240.0,0.418,31,2930.0
Steady Middle,30,6750.0,0.105,0.311,8.9,81.58,23,6710.0,0.228,57,6570.0
Budget-Conscious Saver,32,3100.0,0.314,0.226,4.2,50.29,21,590.0,0.262,42,2000.0
High-Income Investor,43,16260.0,0.308,0.345,4.1,212.73,10,50330.0,0.091,5,9900.0
Budget-Conscious Saver,35,5570.0,0.209,0.187,11.3,69.47,39,4890.0,0.237,48,4370.0
Budget-Conscious Saver,32,4520.0,0.237,0.209,5.5,78.98,21,3630.0,0.128,12,3170.0
Credit-Reliant Household,41,4400.0,0.013,0.535,4.4,32.82,27,20.0,0.924,58,4950.0
Young Digital Spender,25,2970.0,0.078,0.609,26.4,50.96,51,150.0,0.406,15,2880.0
Young Digital Spender,21,3600.0,0.062,0.607,12.7,26.95,43,140.0,0.384,15,3470.0
Young Digital Spender,26,2440.0,0.037,0.485,27.7,47.19,69,100.0,0.248,45,2360.0
Budget-Conscious Saver,34,3240.0,0.204,0.171,4.9,35.87,29,3780.0,0.247,9,2630.0
Young Digital Spender,26,3080.0,-0.012,0.651,19.7,35.18,57,220.0,0.566,51,3080.0
Steady Middle,41,6900.0,0.161,0.37,11.6,62.4,37,1680.0,0.397,53,6640.0
Steady Middle,27,7980.0,0.115,0.255,7.2,66.12,19,2130.0,0.308,46,6760.0
Young Digital Spender,25,4100.0,0.027,0.437,22.8,25.52,75,100.0,0.335,1,4420.0
Credit-Reliant Household,33,2980.0,-0.005,0.439,7.3,37.17,32,100.0,0.729,34,3010.0
Young Digital Spender,24,2370.0,0.048,0.559,23.2,40.91,72,260.0,0.328,25,2030.0
High-Income Investor,55,10120.0,0.336,0.427,5.6,142.13,25,30260.0,0.021,57,7090.0
Steady Middle,37,4220.0,0.117,0.404,10.9,61.75,21,5890.0,0.274,16,3420.0
Credit-Reliant Household,49,3030.0,0.021,0.472,12.8,28.85,40,200.0,0.7,13,2710.0
Credit-Reliant Household,40,2710.0,0.012,0.378,10.5,53.92,42,410.0,0.614,36,2510.0
Young Digital Spender,22,4490.0,-0.035,0.545,17.3,24.66,66,300.0,0.604,24,4050.0
Steady Middle,32,6660.0,0.221,0.378,5.3,52.49,17,11950.0,0.238,17,5680.0
High-Income Investor,52,16960.0,0.279,0.331,3.1,130.62,12,147140.0,0.068,58,11330.0
Steady Middle,35,4970.0,0.177,0.291,10.4,34.36,27,1930.0,0.315,49,4270.0
Budget-Conscious Saver,40,4480.0,0.237,0.231,8.2,68.73,23,4210.0,0.154,33,3910.0
High-Income Investor,47,9330.0,0.305,0.26,4.3,129.65,18,14420.0,0.105,22,6020.0
High-Income Investor,35,15280.0,0.253,0.469,4.3,144.28,13,11660.0,0.126,53,12430.0
Steady Middle,45,4960.0,0.116,0.363,6.0,57.1,32,1820.0,0.378,21,4240.0
Budget-Conscious Saver,30,5050.0,0.318,0.209,10.2,65.68,27,1300.0,0.163,39,3380.0
Budget-Conscious Saver,38,4400.0,0.32,0.189,10.7,62.17,29,2820.0,0.221,44,2870.0
Credit-Reliant Household,42,3650.0,-0.053,0.488,11.8,21.19,42,60.0,0.871,21,3670.0
Budget-Conscious Saver,37,5910.0,0.249,0.195,6.4,58.26,36,2920.0,0.165,31,4770.0
Young Digital Spender,23,3250.0,0.097,0.718,17.7,55.73,58,60.0,0.457,13,2550.0
Credit-Reliant Household,31,2610.0,-0.092,0.42,11.8,46.54,29,50.0,0.663,22,3020.0
Steady Middle,40,4180.0,0.058,0.289,6.6,53.83,31,8790.0,0.281,52,3590.0
High-Income Investor,46,15480.0,0.359,0.531,3.1,133.75,32,77260.0,0.153,8,10660.0
Budget-Conscious Saver,26,6180.0,0.326,0.193,7.8,57.85,32,3760.0,0.147,5,4090.0
Young Digital Spender,27,2280.0,0.032,0.574,13.4,40.41,45,250.0,0.221,56,2390.0
Credit-Reliant Household,48,4340.0,0.003,0.326,5.8,36.66,17,290.0,0.934,26,4940.0
Young Digital Spender,25,3720.0,0.126,0.403,24.5,48.23,75,510.0,0.532,48,2800.0
Steady Middle,42,6220.0,0.121,0.435,7.6,63.69,27,3220.0,0.284,54,6090.0
Credit-Reliant Household,43,4860.0,0.012,0.354,10.3,39.61,33,80.0,0.882,11,5110.0
Young Digital Spender,26,2270.0,0.062,0.554,22.5,58.01,51,180.0,0.231,9,1870.0
Steady Middle,40,4170.0,0.066,0.391,4.0,45.56,33,7230.0,0.37,18,3640.0
Young Digital Spender,24,3000.0,0.075,0.449,22.5,42.94,47,360.0,0.547,8,3100.0
Steady Middle,43,5830.0,0.1,0.379,7.7,82.56,31,7070.0,0.192,4,5280.0
High-Income Investor,41,15240.0,0.322,0.436,7.6,153.87,19,114410.0,0.0,58,10620.0
Steady Middle,46,4470.0,0.116,0.255,10.7,50.61,26,3700.0,0.407,42,3830.0
Budget-Conscious Saver,27,4640.0,0.259,0.277,8.3,49.51,25,2860.0,0.118,45,3480.0
Steady Middle,48,5760.0,0.148,0.395,10.8,29.68,25,6940.0,0.21,46,4300.0
Budget-Conscious Saver,36,4500.0,0.209,0.278,7.9,58.19,25,2550.0,0.233,24,3180.0
Steady Middle,34,7220.0,0.116,0.345,9.1,73.11,28,1870.0,0.368,1,5530.0
Steady Middle,47,7330.0,0.151,0.367,6.0,63.45,39,6310.0,0.307,36,5720.0
Budget-Conscious Saver,39,3040.0,0.24,0.227,5.4,26.38,23,2640.0,0.119,21,2200.0
Young Digital Spender,25,4470.0,0.04,0.554,17.8,71.88,48,420.0,0.373,18,4020.0
Credit-Reliant Household,49,4280.0,-0.066,0.277,9.7,49.77,45,40.0,0.831,31,5080.0
Budget-Conscious Saver,41,3790.0,0.338,0.325,12.6,63.06,27,1880.0,0.114,27,2520.0
Steady Middle,42,6770.0,0.105,0.391,6.7,44.92,34,4960.0,0.341,53,6410.0
Credit-Reliant Household,48,3590.0,-0.003,0.375,5.7,26.22,23,290.0,0.675,49,3820.0
Young Digital Spender,21,3500.0,0.038,0.669,19.9,55.7,40,410.0,0.395,56,3070.0
Credit-Reliant Household,49,2810.0,-0.018,0.357,15.0,25.91,27,130.0,0.777,27,3170.0
High-Income Investor,52,16520.0,0.344,0.335,3.4,176.08,17,55760.0,0.072,6,11960.0
Budget-Conscious Saver,41,5080.0,0.256,0.314,9.7,24.65,18,4920.0,0.246,55,3980.0
Steady Middle,43,7010.0,0.16,0.265,9.5,72.91,35,5250.0,0.418,34,5900.0
Steady Middle,40,7680.0,0.138,0.32,5.7,83.07,33,1490.0,0.348,4,5720.0
Steady Middle,48,6150.0,0.087,0.414,9.9,53.71,19,9050.0,0.265,47,5960.0
Steady Middle,48,5370.0,0.137,0.361,9.5,80.54,30,6220.0,0.331,52,4820.0
Steady Middle,33,4150.0,0.189,0.375,7.4,78.47,29,2170.0,0.161,30,3600.0
Credit-Reliant Household,48,4410.0,0.027,0.49,5.7,23.31,33,150.0,0.634,6,3850.0
Budget-Conscious Saver,35,5300.0,0.26,0.27,4.4,81.62,30,1520.0,0.096,18,4000.0
High-Income Investor,56,17060.0,0.212,0.428,4.3,148.76,12,80860.0,0.118,38,13740.0
Steady Middle,39,6580.0,0.14,0.329,8.4,80.64,33,6530.0,0.26,40,6300.0
Steady Middle,30,7280.0,0.154,0.177,10.6,79.12,31,10540.0,0.358,16,6600.0
Credit-Reliant Household,33,2760.0,0.078,0.433,7.0,25.28,29,270.0,0.654,35,2810.0
High-Income Investor,48,10520.0,0.34,0.296,2.6,104.93,16,45810.0,0.027,41,6170.0
Steady Middle,33,4820.0,0.246,0.372,6.6,44.31,42,11880.0,0.388,50,3330.0
Credit-Reliant Household,50,4900.0,0.033,0.388,6.3,35.96,29,20.0,0.714,41,4750.0
Budget-Conscious Saver,38,6420.0,0.229,0.183,7.1,33.73,14,1160.0,0.143,26,5440.0
Budget-Conscious Saver,33,5310.0,0.319,0.254,7.3,43.26,33,490.0,0.277,44,3680.0
Budget-Conscious Saver,41,5150.0,0.337,0.24,5.1,25.05,31,1670.0,0.184,5,3000.0
High-Income Investor,44,10220.0,0.381,0.326,7.6,126.28,19,44260.0,0.059,10,6250.0
Steady Middle,38,5140.0,0.103,0.403,12.1,59.54,27,8960.0,0.323,21,4120.0
High-Income Investor,57,13650.0,0.43,0.348,7.3,140.45,24,143760.0,0.069,5,7740.0
Budget-Conscious Saver,32,4600.0,0.291,0.209,4.5,37.41,20,2400.0,0.223,1,3580.0
Credit-Reliant Household,31,3430.0,-0.012,0.342,8.6,24.12,41,150.0,0.513,44,3460.0
Budget-Conscious Saver,25,6180.0,0.205,0.325,11.6,42.73,30,4000.0,0.228,38,5490.0
High-Income Investor,37,9750.0,0.404,0.281,6.2,91.66,18,64340.0,0.166,24,5710.0
Steady Middle,39,6350.0,0.106,0.294,4.3,75.69,34,10910.0,0.125,7,5180.0
Young Digital Spender,24,2550.0,0.045,0.677,12.6,34.05,65,30.0,0.265,21,2290.0
Credit-Reliant Household,53,3090.0,0.004,0.418,4.6,34.04,28,160.0,0.631,49,2710.0
High-Income Investor,35,13810.0,0.188,0.371,4.9,128.74,13,105420.0,0.11,47,11460.0
Credit-Reliant Household,32,3450.0,0.004,0.41,6.9,53.32,23,300.0,1.0,13,3260.0
Budget-Conscious Saver,38,3930.0,0.31,0.181,8.9,60.39,25,1920.0,0.221,32,2430.0
Budget-Conscious Saver,35,4160.0,0.263,0.326,6.5,66.32,12,420.0,0.133,56,2950.0
Budget-Conscious Saver,32,5780.0,0.265,0.174,4.0,66.79,26,630.0,0.12,17,3640.0
High-Income Investor,43,12580.0,0.297,0.425,5.3,182.58,15,80160.0,0.028,39,8700.0
Budget-Conscious Saver,40,4730.0,0.327,0.261,9.7,12.34,15,760.0,0.177,47,3510.0
High-Income Investor,53,16770.0,0.256,0.226,7.3,93.8,27,59180.0,0.121,45,11650.0
Steady Middle,35,4060.0,0.131,0.219,6.6,47.63,21,5980.0,0.189,16,3370.0
High-Income Investor,38,14410.0,0.279,0.187,7.1,87.77,19,189680.0,0.0,39,10060.0
Steady Middle,43,7240.0,0.034,0.331,9.9,54.34,22,8880.0,0.285,32,6170.0
Budget-Conscious Saver,25,5190.0,0.352,0.184,4.5,54.52,14,4070.0,0.204,39,3460.0
Young Digital Spender,26,2390.0,0.066,0.614,14.2,10.47,47,30.0,0.328,50,2170.0
High-Income Investor,48,14570.0,0.273,0.342,6.1,103.2,16,136090.0,0.02,59,10300.0
Steady Middle,39,7160.0,0.158,0.337,10.3,29.2,14,3230.0,0.18,6,6020.0
Budget-Conscious Saver,32,3920.0,0.207,0.254,9.1,68.48,21,5600.0,0.235,38,2960.0
Budget-Conscious Saver,40,4900.0,0.259,0.273,4.7,30.87,37,3430.0,0.134,34,3640.0
Young Digital Spender,20,3690.0,0.048,0.625,22.7,20.8,42,330.0,0.278,7,3120.0
Budget-Conscious Saver,25,4160.0,0.354,0.227,8.3,30.77,15,3850.0,0.256,19,2340.0
Steady Middle,31,7960.0,0.13,0.37,11.6,59.63,42,4710.0,0.396,7,6490.0
Young Digital Spender,21,3860.0,0.053,0.59,13.0,34.49,57,40.0,0.297,26,3240.0
Young Digital Spender,26,3100.0,0.065,0.706,18.0,62.19,42,520.0,0.434,29,3050.0
Steady Middle,36,4160.0,0.151,0.319,7.0,66.17,37,5950.0,0.156,12,3900.0
Young Digital Spender,25,4010.0,0.006,0.58,14.9,25.46,64,180.0,0.59,36,4090.0
High-Income Investor,50,12200.0,0.213,0.439,3.5,85.48,22,87530.0,0.0,15,9090.0
Credit-Reliant Household,34,3800.0,0.041,0.436,9.8,17.58,32,30.0,0.814,37,3800.0
Young Digital Spender,20,4280.0,0.07,0.406,20.4,34.93,61,590.0,0.162,20,3620.0
Steady Middle,44,7560.0,0.152,0.402,8.3,60.67,35,7040.0,0.284,43,7060.0
Steady Middle,32,4440.0,0.11,0.308,12.5,16.96,18,11200.0,0.231,48,4380.0
Steady Middle,26,7560.0,0.189,0.356,8.3,42.55,27,2360.0,0.33,44,6020.0
Steady Middle,41,7560.0,0.137,0.332,11.6,76.24,39,13310.0,0.209,58,6060.0
Budget-Conscious Saver,26,4060.0,0.159,0.161,4.3,50.94,18,2810.0,0.274,34,3720.0
High-Income Investor,51,15370.0,0.267,0.481,6.2,67.99,11,52850.0,0.111,40,10010.0
Credit-Reliant Household,48,2680.0,-0.018,0.317,14.5,37.58,39,40.0,0.896,51,2860.0
Young Digital Spender,27,3470.0,0.106,0.714,17.0,52.52,60,190.0,0.391,32,2860.0
Steady Middle,34,7280.0,0.084,0.379,10.5,59.74,29,5490.0,0.369,27,6090.0
Young Digital Spender,24,3390.0,0.097,0.61,25.4,37.67,47,480.0,0.53,34,2860.0
Credit-Reliant Household,52,4110.0,-0.011,0.547,10.6,43.18,32,10.0,0.706,30,4710.0
Budget-Conscious Saver,37,3180.0,0.204,0.163,7.5,60.19,30,3470.0,0.203,11,2850.0
Young Digital Spender,27,4060.0,0.007,0.656,17.4,64.45,58,290.0,0.374,23,3490.0
Budget-Conscious Saver,27,4380.0,0.282,0.148,10.0,35.37,37,1340.0,0.194,53,2960.0
High-Income Investor,44,14860.0,0.245,0.277,7.4,165.26,25,105480.0,0.018,48,10360.0
Budget-Conscious Saver,31,5590.0,0.192,0.138,6.9,61.04,35,2080.0,0.146,49,5180.0
Credit-Reliant Household,50,3480.0,-0.072,0.311,6.8,39.76,41,80.0,0.895,22,3340.0
High-Income Investor,44,10440.0,0.32,0.457,6.5,91.22,12,42450.0,0.124,54,7180.0
High-Income Investor,48,12040.0,0.326,0.474,7.0,182.19,28,29090.0,0.07,41,9000.0
Young Digital Spender,21,3980.0,-0.012,0.659,23.1,46.89,47,210.0,0.312,15,4150.0
Budget-Conscious Saver,27,5620.0,0.274,0.247,6.4,36.66,29,2850.0,0.169,15,3900.0
Young Digital Spender,20,4380.0,0.034,0.645,27.3,61.39,42,50.0,0.349,10,4220.0
Young Digital Spender,22,4000.0,0.019,0.498,16.1,44.38,41,90.0,0.243,40,4290.0
Credit-Reliant Household,47,3970.0,-0.025,0.369,9.2,61.51,36,90.0,0.714,19,3550.0
Credit-Reliant Household,52,3070.0,-0.044,0.389,7.6,28.21,39,240.0,0.591,42,3430.0
Steady Middle,49,4600.0,0.137,0.345,9.0,47.3,32,6550.0,0.351,51,4260.0
Credit-Reliant Household,43,3840.0,0.059,0.314,12.2,20.9,25,170.0,0.6,57,3810.0
High-Income Investor,54,17630.0,0.37,0.337,5.0,186.55,26,78190.0,0.045,32,10070.0
Steady Middle,32,7050.0,0.081,0.222,9.0,57.82,22,6100.0,0.319,23,5890.0
Credit-Reliant Household,41,3170.0,-0.016,0.262,11.2,26.72,24,340.0,0.809,48,3690.0
Young Digital Spender,22,2340.0,0.025,0.713,17.4,47.79,43,210.0,0.268,12,2410.0
High-Income Investor,42,15130.0,0.394,0.416,4.4,123.4,20,132020.0,0.076,51,9780.0
Credit-Reliant Household,38,4790.0,-0.042,0.375,8.8,35.1,17,310.0,0.813,37,4910.0
Young Digital Spender,22,3700.0,0.045,0.445,19.5,13.89,36,230.0,0.442,39,3090.0
Young Digital Spender,21,2860.0,0.062,0.65,19.0,39.83,68,240.0,0.244,51,3040.0
Young Digital Spender,23,3740.0,0.02,0.583,25.6,37.19,66,270.0,0.463,34,4140.0
Credit-Reliant Household,42,4530.0,0.098,0.383,10.9,27.48,37,160.0,0.818,12,4190.0
Steady Middle,47,6450.0,0.148,0.379,12.7,68.03,17,9620.0,0.277,39,4700.0
Steady Middle,29,6470.0,0.086,0.365,13.9,74.12,33,5710.0,0.27,22,6780.0
Steady Middle,26,7160.0,0.144,0.454,10.6,69.37,38,9020.0,0.231,42,6090.0
Young Digital Spender,23,3510.0,0.021,0.604,26.7,16.59,55,10.0,0.412,55,3570.0
Steady Middle,42,5890.0,0.123,0.315,4.4,52.37,24,8010.0,0.278,4,5510.0
